len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
40,22542,0,38,6,31075,49,46739,0
40,14211,0,38,6,39406,3351,46739,0
40,9098,0,38,6,44519,636,46739,0
40,54494,0,38,6,64658,1027,46739,0
40,16808,0,38,6,36809,5101,46739,0
40,13571,0,38,6,40046,5555,46739,0
40,51395,0,38,6,2222,49159,46739,0
40,27003,0,38,6,26614,1755,46739,0
40,12149,0,38,6,41468,6001,46739,0
44,10644,0,59,6,37593,46739,1073,0
40,59786,0,38,6,59366,8333,46739,0
44,23729,0,57,6,25020,46739,3017,0
44,30413,0,54,6,19104,46739,1501,0
40,46206,0,38,6,7411,9090,46739,0
44,44968,0,38,6,8645,46739,1102,0
40,51667,0,38,6,1950,8899,46739,0
44,32221,0,39,6,21136,46739,2525,0
40,7400,0,38,6,46217,49999,46739,0
44,57467,0,59,6,56305,46739,1024,0
40,22080,0,38,6,31537,1080,46739,0
44,60881,0,55,6,53915,46739,8443,0
44,27732,0,42,6,24857,46739,109,0
40,17607,0,38,6,36010,49163,46739,0
40,34707,0,38,6,18910,54045,46739,0
44,29620,0,42,6,22969,46739,54328,0
40,61173,0,38,6,57979,2105,46739,0
44,44408,0,54,6,5109,46739,4005,0
40,23852,0,38,6,29765,79,46739,0
44,61791,0,38,6,57357,46739,6389,0
44,36149,0,54,6,13368,46739,617,0
44,7371,0,44,6,44706,46739,4000,0
44,10478,0,56,6,38527,46739,5989,0
44,57889,0,44,6,59723,46739,1166,0
44,5835,0,54,6,43682,46739,5631,0
44,16564,0,42,6,36025,46739,32769,0
44,42106,0,37,6,11763,46739,4224,0
44,47413,0,47,6,3896,46739,6565,0
44,60693,0,40,6,57943,46739,6510,0
44,40299,0,39,6,13058,46739,4848,0
44,33519,0,41,6,19326,46739,12345,0
44,12120,0,49,6,38677,46739,1217,0
44,53716,0,39,6,65176,46739,2557,0
44,41830,0,54,6,7687,46739,1123,0
44,13535,0,48,6,37518,46739,1147,0
44,11102,0,39,6,42255,46739,1700,0
44,16,0,46,6,51549,46739,1086,0
44,58007,0,48,6,58581,46739,3827,0
44,38722,0,39,6,14635,46739,7200,0
44,34375,0,50,6,16166,46739,9535,0
40,60674,0,38,6,58478,109,46739,0
44,23057,0,46,6,28508,46739,5815,0
44,45353,0,57,6,3396,46739,1192,0
44,48468,0,45,6,3353,46739,5862,0
44,55239,0,56,6,59301,46739,2967,0
40,23274,0,38,6,30343,8443,46739,0
40,40904,0,38,6,12713,1024,46739,0
44,4965,0,41,6,47880,46739,2006,0
40,8834,0,38,6,44783,2525,46739,0
40,26163,0,38,6,27454,1102,46739,0
44,64732,0,37,6,54672,46739,6346,0
40,3388,0,38,6,50229,1501,46739,0
44,36065,0,39,6,17292,46739,1247,0
40,4473,0,38,6,49144,3017,46739,0
40,64529,0,38,6,54623,1073,46739,0
44,53497,0,51,6,62323,46739,1972,0
44,6426,0,59,6,41811,46739,7676,0
44,44557,0,45,6,7264,46739,49158,0
44,4545,0,42,6,48044,46739,1583,0
44,4739,0,48,6,46314,46739,3878,0
44,16910,0,54,6,32607,46739,7007,0
44,19556,0,44,6,32521,46739,7000,0
44,12779,0,59,6,35458,46739,2030,0
44,22517,0,48,6,28536,46739,7938,0
44,21203,0,45,6,30618,46739,3283,0
44,43544,0,38,6,10069,46739,9111,0
44,34326,0,42,6,18263,46739,5952,0
40,23066,0,38,6,30551,12345,46739,0
40,19930,0,38,6,33687,4848,46739,0
40,1721,0,38,6,51896,6510,46739,0
40,58161,0,38,6,60991,6565,46739,0
40,46615,0,38,6,7002,4224,46739,0
40,17456,0,38,6,36161,32769,46739,0
40,42213,0,38,6,11404,5631,46739,0
40,39365,0,38,6,14252,1166,46739,0
40,51505,0,38,6,2112,5989,46739,0
