len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
0.04,0.780988,0,0.587302,0.3125,0.037713,0.001667,0.714784,0
0.04,0.588842,0,0.587302,0.3125,0.229728,0.008457,0.714784,0
0.053333,0.955495,0,0.714286,0.3125,0.832222,0.714779,0.090229,0
0.04,0.437702,0,0.587302,0.3125,0.380763,0.00676,0.714784,0
0.04,0.869647,0,0.587302,0.3125,0.949329,0.0039,0.714784,0
0.053333,0.267915,0,0.904762,0.3125,0.47223,0.714779,0.003043,0
0.053333,0.068269,0,0.825397,0.3125,0.691275,0.714779,0.053939,0
0.053333,0.447446,0,0.587302,0.3125,0.370965,0.714779,0.05715,0
0.053333,0.587162,0,0.857143,0.3125,0.164924,0.714779,0.305862,0
0.053333,0.616852,0,0.809524,0.3125,0.146976,0.714779,0.082659,0
0.053333,0.837864,0,0.666667,0.3125,0.961493,0.714779,0.781523,0
0.04,0.44766,0,0.587302,0.3125,0.370812,0.000321,0.714784,0
0.04,0.172567,0,0.587302,0.3125,0.645717,0.015171,0.714784,0
0.053333,0.643274,0,0.634921,0.3125,0.163551,0.714779,0.017801,0
0.053333,0.864485,0,0.920635,0.3125,0.872377,0.714779,0.051247,0
0.04,0.427867,0,0.587302,0.3125,0.390592,0.001713,0.714784,0
0.053333,0.518068,0,0.888889,0.3125,0.226156,0.714779,0.000749,0
0.053333,0.724326,0,0.603175,0.3125,0.090368,0.714779,0.110126,0
0.053333,0.320789,0,0.777778,0.3125,0.450649,0.714779,0.067963,0
0.053333,0.086368,0,0.730159,0.3125,0.696632,0.714779,0.303446,0
0.053333,0.566024,0,0.634921,0.3125,0.240747,0.714779,0.039777,0
0.053333,0.409692,0,0.777778,0.3125,0.361808,0.714779,0.50117,0
0.053333,0.122931,0,0.825397,0.3125,0.636651,0.714779,0.015293,0
0.053333,0.504399,0,0.603175,0.3125,0.310145,0.714779,0.0052,0
0.053333,0.659585,0,0.714286,0.3125,0.127715,0.714779,0.302819,0
0.04,0.46246,0,0.587302,0.3125,0.356023,0.00211,0.714784,0
0.04,0.204701,0,0.587302,0.3125,0.613605,0.001208,0.714784,0
0.053333,0.186572,0,0.619048,0.3125,0.623846,0.714779,0.001208,0
0.04,0.825768,0,0.587302,0.3125,0.993178,0.01566,0.714784,0
0.04,0.634324,0,0.587302,0.3125,0.184277,0.051814,0.714784,0
0.04,0.268572,0,0.587302,0.3125,0.549778,0.008962,0.714784,0
0.053333,0.85665,0,0.571429,0.3125,0.966164,0.714779,0.032192,0
0.053333,0.694529,0,0.666667,0.3125,0.104516,0.714779,0.826515,0
0.053333,0.103244,0,0.873016,0.3125,0.644602,0.714779,0.751854,0
0.053333,0.663648,0,0.634921,0.3125,0.143191,0.714779,0.016517,0
0.053333,0.110499,0,0.809524,0.3125,0.652981,0.714779,0.764639,0
0.053333,0.586245,0,0.587302,0.3125,0.232261,0.714779,0.136093,0
0.053333,0.447278,0,0.809524,0.3125,0.316433,0.714779,0.139014,0
0.053333,0.263639,0,0.809524,0.3125,0.499947,0.714779,0.127437,0
0.053333,0.652972,0,0.777778,0.3125,0.118695,0.714779,0.091774,0
0.053333,0.74719,0,0.634921,0.3125,0.059706,0.714779,0.026839,0
0.04,0.722784,0,0.587302,0.3125,0.095878,0.017786,0.714784,0
0.053333,0.136661,0,0.603175,0.3125,0.67763,0.714779,0.751793,0
0.04,0.475197,0,0.587302,0.3125,0.343295,0.78152,0.714784,0
0.04,0.950226,0,0.587302,0.3125,0.868805,0.082645,0.714784,0
0.053333,0.452471,0,0.619048,0.3125,0.358129,0.714779,0.084953,0
0.04,0.531951,0,0.587302,0.3125,0.28658,0.305851,0.714784,0
0.04,0.071217,0,0.587302,0.3125,0.746997,0.057136,0.714784,0
0.053333,0.717897,0,0.603175,0.3125,0.096793,0.714779,0.07801,0
0.04,0.774009,0,0.587302,0.3125,0.044688,0.053924,0.714784,0
0.04,0.373862,0,0.587302,0.3125,0.44456,0.003028,0.714784,0
0.053333,0.946591,0,0.793651,0.3125,0.821584,0.714779,0.015706,0
0.04,0.969118,0,0.587302,0.3125,0.849926,0.090215,0.714784,0
0.053333,0.96304,0,0.84127,0.3125,0.793425,0.714779,0.009726,0
0.04,0.068361,0,0.587302,0.3125,0.749851,0.002172,0.714784,0
0.04,0.340079,0,0.587302,0.3125,0.47832,0.302808,0.714784,0
0.04,0.34434,0,0.587302,0.3125,0.474062,0.005184,0.714784,0
0.04,0.572821,0,0.587302,0.3125,0.245738,0.015278,0.714784,0
0.04,0.822591,0,0.587302,0.3125,0.996352,0.501162,0.714784,0
0.04,0.967118,0,0.587302,0.3125,0.851925,0.039763,0.714784,0
0.04,0.58956,0,0.587302,0.3125,0.229011,0.303435,0.714784,0
0.04,0.268724,0,0.587302,0.3125,0.549625,0.067948,0.714784,0
0.04,0.263975,0,0.587302,0.3125,0.554372,0.110112,0.714784,0
0.04,0.344279,0,0.587302,0.3125,0.474123,0.000734,0.714784,0
0.04,0.217041,0,0.587302,0.3125,0.601273,0.051233,0.714784,0
0.04,0.138952,0,0.587302,0.3125,0.679309,0.009711,0.714784,0
0.04,0.832274,0,0.587302,0.3125,0.986676,0.015691,0.714784,0
0.04,0.256705,0,0.587302,0.3125,0.561637,0.077996,0.714784,0
0.04,0.207267,0,0.587302,0.3125,0.611041,0.084939,0.714784,0
0.04,0.784944,0,0.587302,0.3125,0.03376,0.751789,0.714784,0
0.04,0.412411,0,0.587302,0.3125,0.406038,0.026824,0.714784,0
0.04,0.185549,0,0.587302,0.3125,0.632744,0.09176,0.714784,0
0.053333,0.162563,0,0.920635,0.3125,0.573602,0.714779,0.016409,0
0.04,0.913098,0,0.587302,0.3125,0.905908,0.127424,0.714784,0
0.053333,0.362408,0,0.888889,0.3125,0.38171,0.714779,0.046139,0
0.053333,0.464491,0,0.84127,0.3125,0.291418,0.714779,0.022955,0
0.04,0.705694,0,0.587302,0.3125,0.112956,0.139001,0.714784,0
0.053333,0.686786,0,0.587302,0.3125,0.13179,0.714779,0.016853,0
0.04,0.789098,0,0.587302,0.3125,0.029609,0.13608,0.714784,0
0.053333,0.492104,0,0.603175,0.3125,0.322431,0.714779,0.038615,0
0.04,0.113019,0,0.587302,0.3125,0.705224,0.764636,0.714784,0
0.053333,0.87768,0,0.920635,0.3125,0.85919,0.714779,0.01566,0
0.04,0.337223,0,0.587302,0.3125,0.481174,0.016501,0.714784,0
0.053333,0.929822,0,0.857143,0.3125,0.822713,0.714779,0.12912,0
0.053333,0.423545,0,0.650794,0.3125,0.379222,0.714779,0.001667,0
0.04,0.268908,0,0.587302,0.3125,0.549442,0.75185,0.714784,0
0.04,0.530072,0,0.587302,0.3125,0.288457,0.826513,0.714784,0
0.053333,0.452379,0,0.650794,0.3125,0.350407,0.714779,0.830843,0
0.04,0.934281,0,0.587302,0.3125,0.884739,0.032177,0.714784,0
0.053333,0.678233,0,0.84127,0.3125,0.077822,0.714779,0.061249,0
0.04,0.364286,0,0.587302,0.3125,0.454129,0.001193,0.714784,0
0.053333,0.94372,0,0.587302,0.3125,0.875246,0.714779,0.097708,0
0.053333,0.552095,0,0.84127,0.3125,0.203874,0.714779,0.009436,0
0.053333,0.112576,0,0.68254,0.3125,0.682163,0.714779,0.061172,0
0.053333,0.160028,0,0.873016,0.3125,0.587857,0.714779,0.09159,0
0.053333,0.884125,0,0.68254,0.3125,0.911357,0.714779,0.017832,0
0.053333,0.089117,0,0.84127,0.3125,0.666534,0.714779,0.086115,0
0.053333,0.252978,0,0.650794,0.3125,0.549671,0.714779,0.501139,0
0.053333,0.643075,0,0.571429,0.3125,0.179378,0.714779,0.064598,0
0.053333,0.724128,0,0.730159,0.3125,0.059309,0.714779,0.100399,0
0.053333,0.92695,0,0.619048,0.3125,0.88419,0.714779,0.099558,0
0.053333,0.615477,0,0.603175,0.3125,0.199142,0.714779,0.074141,0
0.053333,0.511928,0,0.634921,0.3125,0.294806,0.714779,0.188793,0
0.053333,0.185106,0,0.761905,0.3125,0.590147,0.714779,0.018612,0
0.053333,0.820392,0,0.603175,0.3125,0.994582,0.714779,0.039104,0
0.053333,0.63886,0,0.84127,0.3125,0.117169,0.714779,0.017174,0
0.053333,0.206717,0,0.746032,0.3125,0.572458,0.714779,0.017541,0
0.053333,0.169558,0,0.603175,0.3125,0.644755,0.714779,0.025998,0
0.053333,0.000244,0,0.714286,0.3125,0.786603,0.714779,0.016608,0
0.053333,0.885928,0,0.746032,0.3125,0.893927,0.714779,0.058527,0
0.053333,0.591392,0,0.603175,0.3125,0.223211,0.714779,0.11011,0
0.053333,0.525002,0,0.777778,0.3125,0.246577,0.714779,0.14582,0
0.04,0.92666,0,0.587302,0.3125,0.892355,0.001652,0.714784,0
0.053333,0.352144,0,0.714286,0.3125,0.434945,0.714779,0.088929,0
0.053333,0.692666,0,0.888889,0.3125,0.051678,0.714779,0.018229,0
0.053333,0.740241,0,0.698413,0.3125,0.051022,0.714779,0.089648,0
0.053333,0.843653,0,0.873016,0.3125,0.904916,0.714779,0.045375,0
0.04,0.355458,0,0.587302,0.3125,0.462951,0.129106,0.714784,0
0.04,0.624717,0,0.587302,0.3125,0.193877,0.015645,0.714784,0
0.053333,0.075829,0,0.634921,0.3125,0.730605,0.714779,0.030678,0
0.04,0.13492,0,0.587302,0.3125,0.683338,0.0386,0.714784,0
0.04,0.399582,0,0.587302,0.3125,0.418858,0.016838,0.714784,0
0.053333,0.988637,0,0.571429,0.3125,0.834267,0.714779,0.09705,0
0.04,0.051744,0,0.587302,0.3125,0.766457,0.02294,0.714784,0
0.053333,0.550813,0,0.603175,0.3125,0.263763,0.714779,0.01907,0
0.04,0.068315,0,0.587302,0.3125,0.749897,0.046125,0.714784,0
0.04,0.985537,0,0.587302,0.3125,0.833519,0.016394,0.714784,0
0.053333,0.817047,0,0.793651,0.3125,0.951039,0.714779,0.030158,0
0.053333,0.098143,0,0.920635,0.3125,0.637979,0.714779,0.11739,0
0.053333,0.680509,0,0.698413,0.3125,0.110713,0.714779,0.751778,0
0.053333,0.069415,0,0.650794,0.3125,0.733108,0.714779,0.024209,0
0.053333,0.072378,0,0.746032,0.3125,0.706705,0.714779,0.059307,0
0.053333,0.258263,0,0.84127,0.3125,0.497505,0.714779,0.107159,0
0.053333,0.298674,0,0.68254,0.3125,0.496192,0.714779,0.107052,0
0.053333,0.195171,0,0.920635,0.3125,0.541017,0.714779,0.031045,0
0.053333,0.343897,0,0.746032,0.3125,0.435372,0.714779,0.121397,0
0.053333,0.323829,0,0.698413,0.3125,0.467148,0.714779,0.050207,0
0.053333,0.665038,0,0.587302,0.3125,0.153523,0.714779,0.139335,0
0.053333,0.524253,0,0.650794,0.3125,0.278582,0.714779,0.091024,0
0.04,0.352282,0,0.587302,0.3125,0.466125,0.188781,0.714784,0
0.04,0.304386,0,0.587302,0.3125,0.513988,0.074127,0.714784,0
0.04,0.026284,0,0.587302,0.3125,0.791899,0.099544,0.714784,0
0.04,0.88828,0,0.587302,0.3125,0.930709,0.100385,0.714784,0
