len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
44,42777,0,52,6,7252,50968,301,0
40,1977,0,38,6,51640,143,50968,0
44,31326,0,49,6,19471,50968,1984,0
40,25619,0,38,6,27998,256,50968,0
44,26359,0,56,6,22646,50968,4111,0
40,30137,0,38,6,23480,3306,50968,0
44,6574,0,45,6,45247,50968,5030,0
40,11258,0,38,6,42359,139,50968,0
44,12614,0,47,6,38695,50968,5910,0
44,63939,0,56,6,50601,50968,1972,0
40,24056,0,38,6,29561,199,50968,0
44,18505,0,44,6,33572,50968,161,0
44,61192,0,46,6,55908,50968,9102,0
44,18208,0,47,6,33101,50968,1096,0
44,29529,0,40,6,23572,50968,4550,0
44,46079,0,57,6,2670,50968,6547,0
44,16515,0,45,6,35306,50968,9071,0
44,31205,0,46,6,20360,50968,3905,0
44,6943,0,37,6,46926,50968,2718,0
44,23714,0,43,6,28619,50968,1862,0
44,10487,0,56,6,38518,50968,11110,0
44,33790,0,41,6,19055,50968,146,0
44,18832,0,58,6,29661,50968,20000,0
44,34640,0,49,6,16157,50968,2191,0
44,7752,0,45,6,44069,50968,1024,0
44,39589,0,50,6,10952,50968,1145,0
44,38440,0,56,6,10565,50968,32777,0
44,4843,0,45,6,46978,50968,1583,0
44,63761,0,46,6,53339,50968,417,0
44,25875,0,52,6,24154,50968,1201,0
44,46434,0,40,6,6667,50968,16993,0
44,13423,0,59,6,34814,50968,7800,0
44,49555,0,38,6,4058,50968,19842,0
44,41286,0,45,6,10535,50968,8180,0
44,15580,0,46,6,35985,50968,3071,0
44,24040,0,40,6,29061,50968,6006,0
40,58519,0,38,6,60633,9968,50968,0
40,10442,0,38,6,43175,6101,50968,0
40,59927,0,38,6,59225,808,50968,0
40,46704,0,38,6,6913,2608,50968,0
40,17731,0,38,6,35886,1114,50968,0
40,9984,0,38,6,43633,5906,50968,0
40,12460,0,38,6,41157,52673,50968,0
40,52975,0,38,6,642,16080,50968,0
40,63610,0,38,6,55542,513,50968,0
40,19164,0,38,6,34453,9090,50968,0
40,46719,0,38,6,6898,2222,50968,0
40,50248,0,38,6,3369,9944,50968,0
40,14893,0,38,6,38724,2021,50968,0
40,61614,0,38,6,57538,4129,50968,0
40,21894,0,38,6,31723,5877,50968,0
40,51928,0,38,6,1689,1503,50968,0
40,60453,0,38,6,58699,50000,50968,0
40,29034,0,38,6,24583,666,50968,0
44,9134,0,58,6,39359,50968,1026,0
44,24033,0,54,6,25484,50968,40193,0
40,1047,0,38,6,52570,5910,50968,0
40,21500,0,38,6,32117,5030,50968,0
40,19940,0,38,6,33677,4111,50968,0
44,739,0,42,6,51850,50968,1076,0
40,1100,0,38,6,52517,1984,50968,0
44,8264,0,46,6,43301,50968,3260,0
40,17036,0,38,6,36581,301,50968,0
44,35218,0,43,6,17115,50968,3878,0
40,61143,0,38,6,58009,2702,50968,0
40,19816,0,38,6,33801,5414,50968,0
40,44093,0,38,6,9524,7911,50968,0
44,29748,0,43,6,22585,50968,6346,0
44,25489,0,57,6,23260,50968,7201,0
40,3523,0,38,6,50094,1935,50968,0
44,36126,0,58,6,12367,50968,2179,0
44,38962,0,51,6,11323,50968,5961,0
44,17048,0,57,6,31701,50968,2004,0
44,33134,0,43,6,19199,50968,2998,0
40,35897,0,38,6,17720,3878,50968,0
40,42939,0,38,6,10678,5087,50968,0
44,59780,0,44,6,57832,50968,1081,0
40,32569,0,38,6,21048,54045,50968,0
40,23582,0,38,6,30035,464,50968,0
44,6586,0,44,6,45491,50968,6000,0
44,35682,0,59,6,12555,50968,9200,0
44,60322,0,37,6,59082,50968,6129,0
44,30614,0,45,6,21207,50968,2170,0
44,13274,0,59,6,34963,50968,3737,0
44,29081,0,55,6,20180,50968,7019,0
44,28146,0,40,6,24955,50968,81,0
44,780,0,37,6,53089,50968,1097,0
44,13016,0,51,6,37269,50968,3221,0
44,44578,0,49,6,6219,50968,1311,0
44,12502,0,52,6,37527,50968,3689,0
44,62210,0,59,6,51562,50968,5962,0
44,64832,0,42,6,53292,50968,2875,0
44,25340,0,56,6,23665,50968,1111,0
44,20359,0,59,6,27878,50968,4445,0
44,35092,0,40,6,18009,50968,12265,0
44,26090,0,41,6,26755,50968,500,0
44,34164,0,56,6,14841,50968,52848,0
44,29727,0,55,6,19534,50968,1700,0
44,4425,0,41,6,48420,50968,3007,0
44,17516,0,43,6,34817,50968,1091,0
44,30967,0,53,6,18806,50968,20221,0
44,16352,0,52,6,33677,50968,1070,0
44,65277,0,38,6,53871,50968,5560,0
44,56615,0,44,6,60997,50968,99,0
44,12217,0,50,6,38324,50968,8402,0
44,45588,0,58,6,2905,50968,7999,0
44,48688,0,48,6,2365,50968,563,0
44,55448,0,56,6,59092,50968,3006,0
44,2283,0,45,6,49538,50968,32773,0
44,5483,0,41,6,47362,50969,8082,0
44,56417,0,40,6,62219,50969,42510,0
64,6307,2,64,17,7861,60148,53,0
64,6308,2,64,17,7860,60148,53,0
44,30687,0,42,6,21902,50969,3986,0
44,36465,0,38,6,17148,50969,89,0
44,5460,0,53,6,44313,50969,7921,0
44,39601,0,58,6,8892,50969,4444,0
44,47878,0,38,6,5735,50969,40911,0
44,16868,0,45,6,34953,50969,9100,0
44,38336,0,52,6,11693,50969,3998,0
44,29202,0,53,6,20571,50969,2001,0
44,61453,0,53,6,53855,50969,1108,0
44,1669,0,50,6,48872,50969,26214,0
44,48782,0,46,6,2783,50969,5952,0
44,30916,0,53,6,18857,50969,1151,0
44,3725,0,38,6,49888,50969,3920,0
44,10792,0,57,6,37957,50969,2034,0
44,43480,0,53,6,6293,50969,2967,0
44,24914,0,40,6,28187,50969,8290,0
44,35588,0,49,6,15209,50969,1494,0
64,22105,0,38,17,15103,53,60148,0
64,7040,0,38,17,30168,53,60148,0
44,298,0,46,6,51267,50969,5902,0
44,36549,0,44,6,15528,50969,63331,0
44,23386,0,55,6,25875,50969,56738,0
44,13799,0,37,6,40070,50969,6839,0
44,32400,0,59,6,15837,50969,2002,0
44,41766,0,52,6,8263,50969,2910,0
44,53591,0,57,6,60693,50969,32773,0
44,50984,0,44,6,1093,50969,3006,0
44,48898,0,48,6,2155,50969,667,0
44,41292,0,38,6,12321,50969,2383,0
44,64883,0,44,6,52729,50969,1271,0
44,20574,0,44,6,31503,50969,9998,0
44,40563,0,39,6,12794,50969,7920,0
44,54051,0,37,6,65353,50969,1126,0
44,25074,0,43,6,27259,50969,7402,0
44,57285,0,50,6,58791,50969,18101,0
44,13801,0,53,6,35972,50969,4446,0
44,5091,0,41,6,47754,50969,2038,0
44,65216,0,45,6,52140,50969,8100,0
44,32347,0,57,6,16402,50969,7103,0
44,2365,0,55,6,46896,50969,4343,0
44,51587,0,50,6,64489,50969,12345,0
44,53156,0,43,6,64712,50969,9111,0
44,63601,0,41,6,54779,50969,843,0
44,65136,0,49,6,51196,50969,1034,0
44,25140,0,47,6,26169,50969,8083,0
44,21760,0,50,6,28781,50969,10626,0
44,22111,0,45,6,29710,50969,1185,0
44,51432,0,42,6,1157,50969,1062,0
44,15744,0,38,6,37869,50969,1131,0
44,19755,0,50,6,30786,50969,5500,0
44,44490,0,53,6,5283,50969,9099,0
44,56455,0,43,6,61413,50969,1719,0
44,36499,0,50,6,14042,50969,1032,0
44,37317,0,41,6,15528,50969,32784,0
44,20001,0,40,6,33100,50969,6543,0
44,59597,0,56,6,54943,50969,27352,0
44,51313,0,47,6,65531,50969,1075,0
44,19687,0,43,6,32646,50969,512,0
44,37513,0,37,6,16356,50969,19283,0
44,56192,0,52,6,59372,50969,62078,0
44,51654,0,41,6,1191,50969,64680,0
44,26025,0,48,6,25028,50969,15002,0
44,33298,0,58,6,15195,50969,8254,0
44,36078,0,50,6,14463,50969,259,0
44,8620,0,50,6,41921,50969,903,0
44,38037,0,43,6,14296,50969,3827,0
44,42219,0,42,6,10370,50969,9000,0
44,50887,0,57,6,63397,50969,43,0
44,64706,0,54,6,50346,50969,3826,0
44,46412,0,46,6,5153,50969,5904,0
44,44471,0,50,6,6070,50969,616,0
44,55674,0,41,6,62706,50969,1805,0
44,24342,0,38,6,29271,50969,3031,0
44,25084,0,58,6,23409,50969,5510,0
44,18901,0,48,6,32152,50969,1132,0
44,49961,0,45,6,1860,50969,5440,0
44,41035,0,38,6,12578,50969,5054,0
44,26489,0,38,6,27124,50969,5431,0
44,9233,0,41,6,43612,50969,5859,0
44,56186,0,38,6,62962,50969,44501,0
44,32005,0,49,6,18792,50969,1455,0
44,23892,0,52,6,26137,50969,9943,0
60,40670,2,64,6,55422,41692,23000,0
48,13102,0,38,6,40507,23000,41692,0
40,40671,2,64,6,55441,41692,23000,0
121,40672,2,64,6,55359,41692,23000,0
40,62456,0,38,6,56696,23000,41692,0
321,25421,0,38,6,27915,23000,41692,0
40,40673,2,64,6,55439,41692,23000,0
40,17874,0,38,6,35743,23000,41692,0
40,40674,2,64,6,55438,41692,23000,0
44,65076,0,41,6,53304,50969,13783,0
44,13701,0,50,6,36840,50969,32781,0
44,54929,0,48,6,61659,50969,5214,0
44,1495,0,42,6,51094,50969,1812,0
44,58302,0,44,6,59310,50969,4848,0
44,1127,0,44,6,50950,50969,3371,0
44,19375,0,53,6,30398,50969,2049,0
44,34160,0,42,6,18429,50969,912,0
44,35242,0,52,6,14787,50969,9103,0
44,39834,0,56,6,9171,50969,2500,0
44,41747,0,39,6,11610,50969,4662,0
44,45789,0,59,6,2448,50969,1641,0
44,4033,0,45,6,47788,50969,10012,0
44,56227,0,47,6,60617,50969,1174,0
44,8269,0,56,6,40736,50969,1086,0
44,58324,0,54,6,56728,50969,49159,0
44,56319,0,48,6,60269,50969,10004,0
44,3187,0,57,6,45562,50969,563,0
44,25825,0,45,6,25996,50969,7999,0
44,35953,0,48,6,15100,50969,646,0
44,21052,0,44,6,31025,50969,1218,0
44,49046,0,40,6,4055,50969,60443,0
44,3763,0,57,6,44986,50969,7435,0
44,11247,0,59,6,36990,50969,3325,0
44,52080,0,44,6,65532,50969,1042,0
44,33809,0,56,6,15196,50969,2401,0
44,4940,0,43,6,47393,50969,1521,0
44,13738,0,39,6,39619,50969,6123,0
44,65439,0,53,6,49869,50969,514,0
44,43089,0,41,6,9756,50969,2160,0
44,14222,0,49,6,36575,50969,5357,0
44,26037,0,53,6,23736,50969,465,0
44,46996,0,59,6,1241,50969,9050,0
44,27214,0,48,6,23839,50969,56737,0
44,51646,0,57,6,62638,50969,8383,0
44,52818,0,51,6,63002,50969,11967,0
44,3205,0,45,6,48616,50969,783,0
44,47422,0,57,6,1327,50969,481,0
44,54814,0,48,6,61774,50969,19350,0
44,27100,0,52,6,22929,50969,24444,0
44,33732,0,41,6,19113,50969,5999,0
44,32278,0,59,6,15959,50969,1301,0
44,49778,0,45,6,2043,50969,7627,0
44,33369,0,58,6,15124,50969,1863,0
44,49100,0,39,6,4257,50969,2100,0
44,18125,0,48,6,32928,50969,163,0
44,51615,0,40,6,1486,50969,2399,0
44,19135,0,43,6,33198,50969,1099,0
44,58412,0,48,6,58176,50969,5963,0
44,35184,0,59,6,13053,50969,1090,0
44,23835,0,37,6,30034,50969,60020,0
44,53778,0,48,6,62810,50969,4279,0
44,54864,0,39,6,64028,50969,2041,0
44,21391,0,55,6,27870,50969,2003,0
44,56749,0,41,6,61631,50969,7001,0
44,44835,0,44,6,7242,50969,1049,0
44,2920,0,54,6,46597,50969,7778,0
44,55315,0,53,6,59993,50969,20222,0
44,3552,0,53,6,46221,50969,13782,0
44,29985,0,49,6,20812,50969,5555,0
44,6646,0,42,6,45943,50969,900,0
44,57612,0,49,6,58720,50969,5960,0
44,43801,0,41,6,9044,50969,6567,0
44,54851,0,40,6,63785,50969,32782,0
44,4430,0,57,6,44319,50969,28201,0
44,1513,0,44,6,50564,50969,8292,0
44,35629,0,48,6,15424,50969,8402,0
44,56745,0,46,6,60355,50969,99,0
44,17307,0,49,6,33490,50969,5560,0
44,4331,0,40,6,48770,50969,16113,0
44,43159,0,51,6,7126,50969,16018,0
44,4758,0,38,6,48855,50969,648,0
44,510,0,53,6,49263,50969,5988,0
44,22779,0,55,6,26482,50969,1082,0
44,6364,0,39,6,46993,50969,22939,0
44,35221,0,41,6,17624,50969,1234,0
44,25574,0,49,6,25223,50969,1065,0
44,46987,0,53,6,2786,50969,7443,0
44,45465,0,41,6,7380,50969,2710,0
44,2363,0,47,6,48946,50969,49165,0
44,50504,0,47,6,805,50969,41511,0
44,58492,0,42,6,59632,50969,6566,0
44,30801,0,38,6,22812,50969,5850,0
44,55986,0,54,6,59066,50969,3077,0
44,616,0,37,6,53253,50969,5925,0
44,29851,0,41,6,22994,50969,9290,0
44,4919,0,48,6,46134,50969,2601,0
44,29138,0,42,6,23451,50969,44442,0
44,63564,0,49,6,52768,50969,19780,0
44,53067,0,44,6,64545,50969,617,0
44,54650,0,56,6,59890,50969,44443,0
44,12523,0,59,6,35714,50969,8873,0
44,47399,0,57,6,1350,50969,54328,0
44,31696,0,59,6,16541,50969,3000,0
44,19023,0,44,6,33054,50969,1107,0
44,47122,0,48,6,3931,50969,2040,0
44,59503,0,51,6,56317,50969,45100,0
44,39933,0,46,6,11632,50969,55555,0
44,52678,0,44,6,64934,50969,4,0
44,50772,0,57,6,63512,50969,7625,0
44,20588,0,49,6,30209,50969,3546,0
44,56321,0,51,6,59499,50969,2717,0
44,48191,0,53,6,1582,50969,30951,0
44,63543,0,43,6,54325,50969,5009,0
44,34099,0,40,6,19002,50969,5811,0
44,38478,0,49,6,12319,50969,34572,0
44,29992,0,58,6,18501,50969,34573,0
44,43759,0,37,6,10110,50969,5102,0
44,15386,0,39,6,37971,50969,17877,0
44,37107,0,55,6,12154,50969,407,0
44,32490,0,38,6,21123,50969,873,0
44,48275,0,59,6,65497,50969,999,0
44,17314,0,49,6,33483,50969,55056,0
44,58041,0,51,6,57779,50969,100,0
44,65116,0,47,6,51728,50969,49175,0
44,35821,0,45,6,16000,50969,5221,0
44,7399,0,59,6,40838,50969,3013,0
44,14330,0,40,6,38771,50969,1070,0
44,61614,0,46,6,55486,50969,20221,0
44,8170,0,37,6,45699,50969,544,0
44,63395,0,53,6,51913,50969,3333,0
44,3468,0,44,6,48609,50969,15000,0
44,18243,0,53,6,31530,50969,2144,0
44,47549,0,38,6,6064,50969,31038,0
44,29734,0,40,6,23367,50969,44176,0
44,35095,0,46,6,16470,50969,49,0
44,39358,0,42,6,13231,50969,515,0
44,42712,0,59,6,5525,50969,1041,0
44,22173,0,56,6,26832,50969,2000,0
44,64856,0,41,6,53524,50969,1071,0
44,8307,0,58,6,40186,50969,65000,0
44,52869,0,43,6,64999,50969,3945,0
44,61616,0,41,6,56764,50969,1183,0
44,14422,0,38,6,39191,50969,52869,0
44,30821,0,45,6,21000,50969,2200,0
44,8210,0,42,6,44379,50969,720,0
44,44840,0,47,6,6469,50969,16016,0
44,838,0,55,6,48423,50969,10082,0
44,36059,0,52,6,13970,50969,48080,0
44,63367,0,48,6,53221,50969,32779,0
44,18538,0,43,6,33795,50969,8088,0
44,19121,0,51,6,31164,50969,7025,0
44,5535,0,48,6,45518,50969,497,0
44,57887,0,50,6,58189,50969,2119,0
44,47835,0,40,6,5266,50969,722,0
44,64369,0,52,6,51195,50969,1524,0
44,16467,0,49,6,34330,50969,20005,0
44,53030,0,48,6,63558,50969,687,0
44,23937,0,55,6,25324,50969,3690,0
44,26082,0,40,6,27019,50969,1233,0
44,65518,0,47,6,51326,50969,10621,0
44,34867,0,47,6,16442,50969,1001,0
44,39050,0,52,6,10979,50969,5298,0
